project_occupation_class,candidate_bls_soc_code,bls_occupation_title,expected_fit,caveats,include_in_first_baseline,notes
police,33-3051,"Police and Sheriff's Patrol Officers",high,"Covers patrol officers and sheriffs' patrol officers, not detectives, command staff, or corrections","yes","Best first-pass police occupation for municipal policing comparisons"
fire,33-2011,Firefighters,high,"Does not separately capture command structure, EMS-only titles, or volunteer personnel","yes","Best first-pass fire occupation for career firefighter wage trends"
teacher,25-2021,"Elementary School Teachers, Except Special Education",medium_high,"Covers only one major teacher segment; school bargaining units may span multiple teacher titles","yes","Use with secondary-teacher row below if building a composite teacher comparison"
teacher,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",medium_high,"Does not include all teacher categories or support staff","yes","Pair with elementary teachers for a broader teacher benchmark"
clerical_admin,43-9061,"Office Clerks, General",medium,"Municipal clerical/admin units may include secretaries, specialists, assistants, and title mixes not captured here","yes","Best simple clerical/admin proxy for first baseline"
clerical_admin,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",medium,"May overrepresent secretary-type work and underrepresent clerical generalists","no","Useful sensitivity row if the clerical comparison needs a second benchmark"
clerical_admin,43-0000,"Office and Administrative Support Occupations",low_medium,"Broad occupational group rather than a specific occupation; may be too aggregated for a first pass","no","Possible fallback if single-title clerical proxies look unstable"
public_works,49-9071,"Maintenance and Repair Workers, General",medium,"Public works units often include laborers, drivers, mechanics, and utilities roles beyond general maintenance","yes","Best single-occupation maintenance/public works proxy for first pass"
public_works,47-2061,"Construction Laborers",low_medium,"May capture manual labor better than municipal maintenance, but includes substantial nonmunicipal private work","no","Useful only as a sensitivity comparison, not the primary public-works proxy"
sanitation,53-7081,"Refuse and Recyclable Material Collectors",medium_high,"Good sanitation fit where refuse collection is central, but some municipal sanitation units may include broader DPW tasks","yes","Include if feasible because it is one of the cleaner non-safety public-service proxies"
transit,53-3052,"Bus Drivers, Transit and Intercity",medium_high,"Good fit for municipal bus transit, but not rail operators or mixed transit authorities","yes","Include if feasible; likely the cleanest transit proxy in OEWS"
library,25-4022,Library Technicians,medium,"May not represent librarian-led units or mixed library bargaining units","no","Optional later comparison occupation rather than core first baseline"
nurse_health,29-1141,Registered Nurses,medium,"Captures health labor-market pressure but may reflect hospital/private-sector mix more than municipal public health","no","Useful later for coverage-constrained comparison, but not necessary in the first baseline"
